term|definition|cefrLevel|layer|frequency|partOfSpeech|exampleSentence|protectedToken
json|computer science term used in software, data, networking, or platform work involving json|B1|CSAWL|1164|noun|The developer documented the json in the project wiki before deployment.|false
kernel|computer science term used in software, data, networking, or platform work involving kernel|B1|CSAWL|1163|noun|The developer documented the kernel in the project wiki before deployment.|false
latency|computer science term used in software, data, networking, or platform work involving latency|B1|CSAWL|1162|noun|The developer documented the latency in the project wiki before deployment.|false
library|computer science term used in software, data, networking, or platform work involving library|B1|CSAWL|1161|noun|The developer documented the library in the project wiki before deployment.|false
listener|computer science term used in software, data, networking, or platform work involving listener|B1|CSAWL|1160|noun|The developer documented the listener in the project wiki before deployment.|false
logging|computer science term used in software, data, networking, or platform work involving logging|B1|CSAWL|1159|noun|The developer documented the logging in the project wiki before deployment.|false
markdown|computer science term used in software, data, networking, or platform work involving markdown|B1|CSAWL|1158|noun|The developer documented the markdown in the project wiki before deployment.|false
memory|computer science term used in software, data, networking, or platform work involving memory|B1|CSAWL|1157|noun|The developer documented the memory in the project wiki before deployment.|false
metadata|computer science term used in software, data, networking, or platform work involving metadata|B1|CSAWL|1156|noun|The developer documented the metadata in the project wiki before deployment.|false
middleware|computer science term used in software, data, networking, or platform work involving middleware|B2|CSAWL|1155|noun|The developer documented the middleware in the project wiki before deployment.|false
migration|computer science term used in software, data, networking, or platform work involving migration|B2|CSAWL|1154|noun|The developer documented the migration in the project wiki before deployment.|false
mocking|computer science term used in software, data, networking, or platform work involving mocking|B2|CSAWL|1153|noun|The developer documented the mocking in the project wiki before deployment.|false
module|computer science term used in software, data, networking, or platform work involving module|B2|CSAWL|1152|noun|The developer documented the module in the project wiki before deployment.|false
namespace|computer science term used in software, data, networking, or platform work involving namespace|B2|CSAWL|1151|noun|The developer documented the namespace in the project wiki before deployment.|false
node|computer science term used in software, data, networking, or platform work involving node|B2|CSAWL|1150|noun|The developer documented the node in the project wiki before deployment.|false
object|computer science term used in software, data, networking, or platform work involving object|B2|CSAWL|1149|noun|The developer documented the object in the project wiki before deployment.|false
orchestrator|computer science term used in software, data, networking, or platform work involving orchestrator|B2|CSAWL|1148|noun|The developer documented the orchestrator in the project wiki before deployment.|false
packet|computer science term used in software, data, networking, or platform work involving packet|B2|CSAWL|1147|noun|The developer documented the packet in the project wiki before deployment.|false
pagination|computer science term used in software, data, networking, or platform work involving pagination|B2|CSAWL|1146|noun|The developer documented the pagination in the project wiki before deployment.|false
parser|computer science term used in software, data, networking, or platform work involving parser|B2|CSAWL|1145|verb|The developer documented the parser in the project wiki before deployment.|false
payload|computer science term used in software, data, networking, or platform work involving payload|B2|CSAWL|1144|noun|The developer documented the payload in the project wiki before deployment.|false
pipeline|computer science term used in software, data, networking, or platform work involving pipeline|B2|CSAWL|1143|noun|The developer documented the pipeline in the project wiki before deployment.|false
pointer|computer science term used in software, data, networking, or platform work involving pointer|B2|CSAWL|1142|noun|The developer documented the pointer in the project wiki before deployment.|false
protocol|computer science term used in software, data, networking, or platform work involving protocol|B2|CSAWL|1141|noun|The developer documented the protocol in the project wiki before deployment.|false
query|computer science term used in software, data, networking, or platform work involving query|B2|CSAWL|1140|noun|The developer documented the query in the project wiki before deployment.|false
queue|computer science term used in software, data, networking, or platform work involving queue|B2|CSAWL|1139|noun|The developer documented the queue in the project wiki before deployment.|false
recursion|computer science term used in software, data, networking, or platform work involving recursion|B2|CSAWL|1138|noun|The developer documented the recursion in the project wiki before deployment.|false
refactor|computer science term used in software, data, networking, or platform work involving refactor|B2|CSAWL|1137|verb|The developer documented the refactor in the project wiki before deployment.|false
registry|computer science term used in software, data, networking, or platform work involving registry|B2|CSAWL|1136|noun|The developer documented the registry in the project wiki before deployment.|false
render|computer science term used in software, data, networking, or platform work involving render|B2|CSAWL|1135|verb|The developer documented the render in the project wiki before deployment.|false
repository|computer science term used in software, data, networking, or platform work involving repository|B2|CSAWL|1134|noun|The developer documented the repository in the project wiki before deployment.|false
runtime|computer science term used in software, data, networking, or platform work involving runtime|B2|CSAWL|1133|noun|The developer documented the runtime in the project wiki before deployment.|false
sandbox|computer science term used in software, data, networking, or platform work involving sandbox|B2|CSAWL|1132|noun|The developer documented the sandbox in the project wiki before deployment.|false
schema|computer science term used in software, data, networking, or platform work involving schema|B2|CSAWL|1131|noun|The developer documented the schema in the project wiki before deployment.|false
serializer|computer science term used in software, data, networking, or platform work involving serializer|B2|CSAWL|1130|verb|The developer documented the serializer in the project wiki before deployment.|false
session|computer science term used in software, data, networking, or platform work involving session|B2|CSAWL|1129|noun|The developer documented the session in the project wiki before deployment.|false
socket|computer science term used in software, data, networking, or platform work involving socket|B2|CSAWL|1128|noun|The developer documented the socket in the project wiki before deployment.|false
sorting|computer science term used in software, data, networking, or platform work involving sorting|B2|CSAWL|1127|verb|The developer documented the sorting in the project wiki before deployment.|false
stack|computer science term used in software, data, networking, or platform work involving stack|B2|CSAWL|1126|noun|The developer documented the stack in the project wiki before deployment.|false
stateful|computer science term used in software, data, networking, or platform work involving stateful|B2|CSAWL|1125|adjective|The developer documented the stateful in the project wiki before deployment.|false
stateless|computer science term used in software, data, networking, or platform work involving stateless|B2|CSAWL|1124|adjective|The developer documented the stateless in the project wiki before deployment.|false
storage|computer science term used in software, data, networking, or platform work involving storage|B2|CSAWL|1123|noun|The developer documented the storage in the project wiki before deployment.|false
stream|computer science term used in software, data, networking, or platform work involving stream|B2|CSAWL|1122|verb|The developer documented the stream in the project wiki before deployment.|false
syntax|computer science term used in software, data, networking, or platform work involving syntax|B2|CSAWL|1121|noun|The developer documented the syntax in the project wiki before deployment.|false
terminal|computer science term used in software, data, networking, or platform work involving terminal|C1|CSAWL|1120|noun|The developer documented the terminal in the project wiki before deployment.|false
thread|computer science term used in software, data, networking, or platform work involving thread|C1|CSAWL|1119|noun|The developer documented the thread in the project wiki before deployment.|false
token|computer science term used in software, data, networking, or platform work involving token|C1|CSAWL|1118|noun|The developer documented the token in the project wiki before deployment.|false
typescript|computer science term used in software, data, networking, or platform work involving typescript|C1|CSAWL|1117|noun|The developer documented the typescript in the project wiki before deployment.|false
validator|computer science term used in software, data, networking, or platform work involving validator|C1|CSAWL|1116|verb|The developer documented the validator in the project wiki before deployment.|false
virtualization|computer science term used in software, data, networking, or platform work involving virtualization|C1|CSAWL|1115|noun|The developer documented the virtualization in the project wiki before deployment.|false
webhook|computer science term used in software, data, networking, or platform work involving webhook|C1|CSAWL|1114|noun|The developer documented the webhook in the project wiki before deployment.|false
workflow|computer science term used in software, data, networking, or platform work involving workflow|C1|CSAWL|1113|noun|The developer documented the workflow in the project wiki before deployment.|false
abstraction|computer science term used in software, data, networking, or platform work involving abstraction|C1|CSAWL|1112|noun|The developer documented the abstraction in the project wiki before deployment.|false
benchmark|computer science term used in software, data, networking, or platform work involving benchmark|C1|CSAWL|1111|verb|The developer documented the benchmark in the project wiki before deployment.|false
branching|computer science term used in software, data, networking, or platform work involving branching|C1|CSAWL|1110|verb|The developer documented the branching in the project wiki before deployment.|false
checksum|computer science term used in software, data, networking, or platform work involving checksum|C1|CSAWL|1109|noun|The developer documented the checksum in the project wiki before deployment.|false
clustering|computer science term used in software, data, networking, or platform work involving clustering|C1|CSAWL|1108|noun|The developer documented the clustering in the project wiki before deployment.|false
commit|computer science term used in software, data, networking, or platform work involving commit|C1|CSAWL|1107|verb|The developer documented the commit in the project wiki before deployment.|false
component|computer science term used in software, data, networking, or platform work involving component|C1|CSAWL|1106|noun|The developer documented the component in the project wiki before deployment.|false
compression|computer science term used in software, data, networking, or platform work involving compression|C1|CSAWL|1105|verb|The developer documented the compression in the project wiki before deployment.|false
controller|computer science term used in software, data, networking, or platform work involving controller|C1|CSAWL|1104|verb|The developer documented the controller in the project wiki before deployment.|false
documentation|computer science term used in software, data, networking, or platform work involving documentation|C1|CSAWL|1103|noun|The developer documented the documentation in the project wiki before deployment.|false
idempotency|computer science term used in software, data, networking, or platform work involving idempotency|C1|CSAWL|1102|noun|The developer documented the idempotency in the project wiki before deployment.|false
observability|computer science term used in software, data, networking, or platform work involving observability|C1|CSAWL|1101|noun|The developer documented the observability in the project wiki before deployment.|false
