term|definition|cefrLevel|layer|frequency|partOfSpeech|exampleSentence|protectedToken
additional|core English term used often in technical instructions and classroom communication about additional|A1|GSL|4974|noun|The students use additional while describing a lab task in English.|false
address|core English term used often in technical instructions and classroom communication about address|A1|GSL|4973|noun|The students use address while describing a lab task in English.|false
administration|core English term used often in technical instructions and classroom communication about administration|A1|GSL|4972|noun|The students use administration while describing a lab task in English.|false
admit|core English term used often in technical instructions and classroom communication about admit|A1|GSL|4971|noun|The students use admit while describing a lab task in English.|false
adopt|core English term used often in technical instructions and classroom communication about adopt|A1|GSL|4970|noun|The students use adopt while describing a lab task in English.|false
adult|core English term used often in technical instructions and classroom communication about adult|A1|GSL|4969|noun|The students use adult while describing a lab task in English.|false
advance|core English term used often in technical instructions and classroom communication about advance|A1|GSL|4968|noun|The students use advance while describing a lab task in English.|false
advantage|core English term used often in technical instructions and classroom communication about advantage|A1|GSL|4967|noun|The students use advantage while describing a lab task in English.|false
advice|core English term used often in technical instructions and classroom communication about advice|A1|GSL|4966|noun|The students use advice while describing a lab task in English.|false
advise|core English term used often in technical instructions and classroom communication about advise|A1|GSL|4965|noun|The students use advise while describing a lab task in English.|false
affair|core English term used often in technical instructions and classroom communication about affair|A1|GSL|4964|noun|The students use affair while describing a lab task in English.|false
affect|core English term used often in technical instructions and classroom communication about affect|A1|GSL|4963|verb|The students use affect while describing a lab task in English.|false
afford|core English term used often in technical instructions and classroom communication about afford|A1|GSL|4962|noun|The students use afford while describing a lab task in English.|false
afraid|core English term used often in technical instructions and classroom communication about afraid|A1|GSL|4961|noun|The students use afraid while describing a lab task in English.|false
after|core English term used often in technical instructions and classroom communication about after|A1|GSL|4960|noun|The students use after while describing a lab task in English.|false
afternoon|core English term used often in technical instructions and classroom communication about afternoon|A1|GSL|4959|noun|The students use afternoon while describing a lab task in English.|false
afterwards|core English term used often in technical instructions and classroom communication about afterwards|A1|GSL|4958|noun|The students use afterwards while describing a lab task in English.|false
again|core English term used often in technical instructions and classroom communication about again|A1|GSL|4957|noun|The students use again while describing a lab task in English.|false
against|core English term used often in technical instructions and classroom communication about against|A1|GSL|4956|noun|The students use against while describing a lab task in English.|false
age|core English term used often in technical instructions and classroom communication about age|A1|GSL|4955|noun|The students use age while describing a lab task in English.|false
agency|core English term used often in technical instructions and classroom communication about agency|A1|GSL|4954|noun|The students use agency while describing a lab task in English.|false
agent|core English term used often in technical instructions and classroom communication about agent|A1|GSL|4953|noun|The students use agent while describing a lab task in English.|false
ago|core English term used often in technical instructions and classroom communication about ago|A1|GSL|4952|noun|The students use ago while describing a lab task in English.|false
agree|core English term used often in technical instructions and classroom communication about agree|A1|GSL|4951|noun|The students use agree while describing a lab task in English.|false
agreement|core English term used often in technical instructions and classroom communication about agreement|A1|GSL|4950|noun|The students use agreement while describing a lab task in English.|false
ahead|core English term used often in technical instructions and classroom communication about ahead|A1|GSL|4949|noun|The students use ahead while describing a lab task in English.|false
aid|core English term used often in technical instructions and classroom communication about aid|A1|GSL|4948|noun|The students use aid while describing a lab task in English.|false
aim|core English term used often in technical instructions and classroom communication about aim|A1|GSL|4947|noun|The students use aim while describing a lab task in English.|false
air|core English term used often in technical instructions and classroom communication about air|A1|GSL|4946|noun|The students use air while describing a lab task in English.|false
aircraft|core English term used often in technical instructions and classroom communication about aircraft|A1|GSL|4945|noun|The students use aircraft while describing a lab task in English.|false
all|core English term used often in technical instructions and classroom communication about all|A1|GSL|4944|noun|The students use all while describing a lab task in English.|false
allow|core English term used often in technical instructions and classroom communication about allow|A1|GSL|4943|noun|The students use allow while describing a lab task in English.|false
almost|core English term used often in technical instructions and classroom communication about almost|A1|GSL|4942|noun|The students use almost while describing a lab task in English.|false
alone|core English term used often in technical instructions and classroom communication about alone|A1|GSL|4941|noun|The students use alone while describing a lab task in English.|false
along|core English term used often in technical instructions and classroom communication about along|A1|GSL|4940|noun|The students use along while describing a lab task in English.|false
already|core English term used often in technical instructions and classroom communication about already|A1|GSL|4939|noun|The students use already while describing a lab task in English.|false
alright|core English term used often in technical instructions and classroom communication about alright|A1|GSL|4938|noun|The students use alright while describing a lab task in English.|false
also|core English term used often in technical instructions and classroom communication about also|A1|GSL|4937|noun|The students use also while describing a lab task in English.|false
alternative|core English term used often in technical instructions and classroom communication about alternative|A1|GSL|4936|noun|The students use alternative while describing a lab task in English.|false
although|core English term used often in technical instructions and classroom communication about although|A1|GSL|4935|noun|The students use although while describing a lab task in English.|false
always|core English term used often in technical instructions and classroom communication about always|A1|GSL|4934|noun|The students use always while describing a lab task in English.|false
among|core English term used often in technical instructions and classroom communication about among|A1|GSL|4933|noun|The students use among while describing a lab task in English.|false
amongst|core English term used often in technical instructions and classroom communication about amongst|A1|GSL|4932|noun|The students use amongst while describing a lab task in English.|false
amount|core English term used often in technical instructions and classroom communication about amount|A1|GSL|4931|noun|The students use amount while describing a lab task in English.|false
an|core English term used often in technical instructions and classroom communication about an|A1|GSL|4930|noun|The students use an while describing a lab task in English.|false
analysis|core English term used often in technical instructions and classroom communication about analysis|A1|GSL|4929|noun|The students use analysis while describing a lab task in English.|false
ancient|core English term used often in technical instructions and classroom communication about ancient|A1|GSL|4928|noun|The students use ancient while describing a lab task in English.|false
and|core English term used often in technical instructions and classroom communication about and|A1|GSL|4927|noun|The students use and while describing a lab task in English.|false
animal|core English term used often in technical instructions and classroom communication about animal|A1|GSL|4926|noun|The students use animal while describing a lab task in English.|false
announce|core English term used often in technical instructions and classroom communication about announce|A1|GSL|4925|noun|The students use announce while describing a lab task in English.|false
annual|core English term used often in technical instructions and classroom communication about annual|A1|GSL|4924|noun|The students use annual while describing a lab task in English.|false
another|core English term used often in technical instructions and classroom communication about another|A1|GSL|4923|noun|The students use another while describing a lab task in English.|false
answer|core English term used often in technical instructions and classroom communication about answer|A1|GSL|4922|noun|The students use answer while describing a lab task in English.|false
any|core English term used often in technical instructions and classroom communication about any|A1|GSL|4921|noun|The students use any while describing a lab task in English.|false
anybody|core English term used often in technical instructions and classroom communication about anybody|A1|GSL|4920|noun|The students use anybody while describing a lab task in English.|false
anyone|core English term used often in technical instructions and classroom communication about anyone|A1|GSL|4919|noun|The students use anyone while describing a lab task in English.|false
anything|core English term used often in technical instructions and classroom communication about anything|A1|GSL|4918|noun|The students use anything while describing a lab task in English.|false
anyway|core English term used often in technical instructions and classroom communication about anyway|A1|GSL|4917|noun|The students use anyway while describing a lab task in English.|false
apart|core English term used often in technical instructions and classroom communication about apart|A1|GSL|4916|noun|The students use apart while describing a lab task in English.|false
apparent|core English term used often in technical instructions and classroom communication about apparent|A1|GSL|4915|noun|The students use apparent while describing a lab task in English.|false
apparently|core English term used often in technical instructions and classroom communication about apparently|A1|GSL|4914|noun|The students use apparently while describing a lab task in English.|false
appeal|core English term used often in technical instructions and classroom communication about appeal|A1|GSL|4913|noun|The students use appeal while describing a lab task in English.|false
appear|core English term used often in technical instructions and classroom communication about appear|A1|GSL|4912|noun|The students use appear while describing a lab task in English.|false
appearance|core English term used often in technical instructions and classroom communication about appearance|A1|GSL|4911|noun|The students use appearance while describing a lab task in English.|false
application|core English term used often in technical instructions and classroom communication about application|A1|GSL|4910|noun|The students use application while describing a lab task in English.|false
apply|core English term used often in technical instructions and classroom communication about apply|A1|GSL|4909|noun|The students use apply while describing a lab task in English.|false
appoint|core English term used often in technical instructions and classroom communication about appoint|A1|GSL|4908|noun|The students use appoint while describing a lab task in English.|false
appointment|core English term used often in technical instructions and classroom communication about appointment|A1|GSL|4907|noun|The students use appointment while describing a lab task in English.|false
approach|core English term used often in technical instructions and classroom communication about approach|A1|GSL|4906|noun|The students use approach while describing a lab task in English.|false
appropriate|core English term used often in technical instructions and classroom communication about appropriate|A1|GSL|4905|noun|The students use appropriate while describing a lab task in English.|false
approve|core English term used often in technical instructions and classroom communication about approve|A1|GSL|4904|noun|The students use approve while describing a lab task in English.|false
area|core English term used often in technical instructions and classroom communication about area|A1|GSL|4903|noun|The students use area while describing a lab task in English.|false
argue|core English term used often in technical instructions and classroom communication about argue|A1|GSL|4902|noun|The students use argue while describing a lab task in English.|false
argument|core English term used often in technical instructions and classroom communication about argument|A1|GSL|4901|noun|The students use argument while describing a lab task in English.|false
arise|core English term used often in technical instructions and classroom communication about arise|A1|GSL|4900|noun|The students use arise while describing a lab task in English.|false
arm|core English term used often in technical instructions and classroom communication about arm|A1|GSL|4899|noun|The students use arm while describing a lab task in English.|false
army|core English term used often in technical instructions and classroom communication about army|A1|GSL|4898|noun|The students use army while describing a lab task in English.|false
around|core English term used often in technical instructions and classroom communication about around|A1|GSL|4897|noun|The students use around while describing a lab task in English.|false
arrange|core English term used often in technical instructions and classroom communication about arrange|A1|GSL|4896|noun|The students use arrange while describing a lab task in English.|false
arrangement|core English term used often in technical instructions and classroom communication about arrangement|A1|GSL|4895|noun|The students use arrangement while describing a lab task in English.|false
arrive|core English term used often in technical instructions and classroom communication about arrive|A1|GSL|4894|noun|The students use arrive while describing a lab task in English.|false
art|core English term used often in technical instructions and classroom communication about art|A1|GSL|4893|noun|The students use art while describing a lab task in English.|false
article|core English term used often in technical instructions and classroom communication about article|A1|GSL|4892|noun|The students use article while describing a lab task in English.|false
artist|core English term used often in technical instructions and classroom communication about artist|A1|GSL|4891|noun|The students use artist while describing a lab task in English.|false
as|core English term used often in technical instructions and classroom communication about as|A1|GSL|4890|noun|The students use as while describing a lab task in English.|false
ask|core English term used often in technical instructions and classroom communication about ask|A1|GSL|4889|noun|The students use ask while describing a lab task in English.|false
aspect|core English term used often in technical instructions and classroom communication about aspect|A1|GSL|4888|noun|The students use aspect while describing a lab task in English.|false
assembly|core English term used often in technical instructions and classroom communication about assembly|A1|GSL|4887|verb|The students use assembly while describing a lab task in English.|false
assess|core English term used often in technical instructions and classroom communication about assess|A1|GSL|4886|noun|The students use assess while describing a lab task in English.|false
assessment|core English term used often in technical instructions and classroom communication about assessment|A1|GSL|4885|noun|The students use assessment while describing a lab task in English.|false
asset|core English term used often in technical instructions and classroom communication about asset|A1|GSL|4884|noun|The students use asset while describing a lab task in English.|false
associate|core English term used often in technical instructions and classroom communication about associate|A1|GSL|4883|noun|The students use associate while describing a lab task in English.|false
association|core English term used often in technical instructions and classroom communication about association|A1|GSL|4882|noun|The students use association while describing a lab task in English.|false
assume|core English term used often in technical instructions and classroom communication about assume|A1|GSL|4881|verb|The students use assume while describing a lab task in English.|false
assumption|core English term used often in technical instructions and classroom communication about assumption|A1|GSL|4880|noun|The students use assumption while describing a lab task in English.|false
at|core English term used often in technical instructions and classroom communication about at|A1|GSL|4879|noun|The students use at while describing a lab task in English.|false
atmosphere|core English term used often in technical instructions and classroom communication about atmosphere|A1|GSL|4878|noun|The students use atmosphere while describing a lab task in English.|false
attach|core English term used often in technical instructions and classroom communication about attach|A1|GSL|4877|noun|The students use attach while describing a lab task in English.|false
attack|core English term used often in technical instructions and classroom communication about attack|A1|GSL|4876|noun|The students use attack while describing a lab task in English.|false
attempt|core English term used often in technical instructions and classroom communication about attempt|A1|GSL|4875|noun|The students use attempt while describing a lab task in English.|false
attend|core English term used often in technical instructions and classroom communication about attend|A1|GSL|4874|noun|The students use attend while describing a lab task in English.|false
attention|core English term used often in technical instructions and classroom communication about attention|A1|GSL|4873|noun|The students use attention while describing a lab task in English.|false
attitude|core English term used often in technical instructions and classroom communication about attitude|A1|GSL|4872|noun|The students use attitude while describing a lab task in English.|false
attract|core English term used often in technical instructions and classroom communication about attract|A1|GSL|4871|noun|The students use attract while describing a lab task in English.|false
attractive|core English term used often in technical instructions and classroom communication about attractive|A1|GSL|4870|noun|The students use attractive while describing a lab task in English.|false
audience|core English term used often in technical instructions and classroom communication about audience|A1|GSL|4869|noun|The students use audience while describing a lab task in English.|false
author|core English term used often in technical instructions and classroom communication about author|A1|GSL|4868|noun|The students use author while describing a lab task in English.|false
authority|core English term used often in technical instructions and classroom communication about authority|A1|GSL|4867|noun|The students use authority while describing a lab task in English.|false
available|core English term used often in technical instructions and classroom communication about available|A1|GSL|4866|adjective|The students use available while describing a lab task in English.|false
average|core English term used often in technical instructions and classroom communication about average|A1|GSL|4865|noun|The students use average while describing a lab task in English.|false
avoid|core English term used often in technical instructions and classroom communication about avoid|A1|GSL|4864|noun|The students use avoid while describing a lab task in English.|false
award|core English term used often in technical instructions and classroom communication about award|A1|GSL|4863|noun|The students use award while describing a lab task in English.|false
aware|core English term used often in technical instructions and classroom communication about aware|A1|GSL|4862|noun|The students use aware while describing a lab task in English.|false
away|core English term used often in technical instructions and classroom communication about away|A1|GSL|4861|noun|The students use away while describing a lab task in English.|false
aye|core English term used often in technical instructions and classroom communication about aye|A1|GSL|4860|noun|The students use aye while describing a lab task in English.|false
baby|core English term used often in technical instructions and classroom communication about baby|A1|GSL|4859|noun|The students use baby while describing a lab task in English.|false
back|core English term used often in technical instructions and classroom communication about back|A1|GSL|4858|noun|The students use back while describing a lab task in English.|false
background|core English term used often in technical instructions and classroom communication about background|A1|GSL|4857|noun|The students use background while describing a lab task in English.|false
bad|core English term used often in technical instructions and classroom communication about bad|A1|GSL|4856|noun|The students use bad while describing a lab task in English.|false
bag|core English term used often in technical instructions and classroom communication about bag|A1|GSL|4855|noun|The students use bag while describing a lab task in English.|false
balance|core English term used often in technical instructions and classroom communication about balance|A1|GSL|4854|noun|The students use balance while describing a lab task in English.|false
ball|core English term used often in technical instructions and classroom communication about ball|A1|GSL|4853|noun|The students use ball while describing a lab task in English.|false
band|core English term used often in technical instructions and classroom communication about band|A1|GSL|4852|noun|The students use band while describing a lab task in English.|false
bank|core English term used often in technical instructions and classroom communication about bank|A1|GSL|4851|noun|The students use bank while describing a lab task in English.|false
bar|core English term used often in technical instructions and classroom communication about bar|A1|GSL|4850|noun|The students use bar while describing a lab task in English.|false
base|core English term used often in technical instructions and classroom communication about base|A1|GSL|4849|noun|The students use base while describing a lab task in English.|false
basic|core English term used often in technical instructions and classroom communication about basic|A1|GSL|4848|noun|The students use basic while describing a lab task in English.|false
basis|core English term used often in technical instructions and classroom communication about basis|A1|GSL|4847|noun|The students use basis while describing a lab task in English.|false
battle|core English term used often in technical instructions and classroom communication about battle|A1|GSL|4846|noun|The students use battle while describing a lab task in English.|false
be|core English term used often in technical instructions and classroom communication about be|A1|GSL|4845|noun|The students use be while describing a lab task in English.|false
bear|core English term used often in technical instructions and classroom communication about bear|A1|GSL|4844|noun|The students use bear while describing a lab task in English.|false
beat|core English term used often in technical instructions and classroom communication about beat|A1|GSL|4843|noun|The students use beat while describing a lab task in English.|false
beautiful|core English term used often in technical instructions and classroom communication about beautiful|A1|GSL|4842|noun|The students use beautiful while describing a lab task in English.|false
because|core English term used often in technical instructions and classroom communication about because|A1|GSL|4841|noun|The students use because while describing a lab task in English.|false
become|core English term used often in technical instructions and classroom communication about become|A2|GSL|4840|noun|The students use become while describing a lab task in English.|false
bed|core English term used often in technical instructions and classroom communication about bed|A2|GSL|4839|noun|The students use bed while describing a lab task in English.|false
bedroom|core English term used often in technical instructions and classroom communication about bedroom|A2|GSL|4838|noun|The students use bedroom while describing a lab task in English.|false
before|core English term used often in technical instructions and classroom communication about before|A2|GSL|4837|noun|The students use before while describing a lab task in English.|false
begin|core English term used often in technical instructions and classroom communication about begin|A2|GSL|4836|noun|The students use begin while describing a lab task in English.|false
beginning|core English term used often in technical instructions and classroom communication about beginning|A2|GSL|4835|noun|The students use beginning while describing a lab task in English.|false
behaviour|core English term used often in technical instructions and classroom communication about behaviour|A2|GSL|4834|noun|The students use behaviour while describing a lab task in English.|false
behind|core English term used often in technical instructions and classroom communication about behind|A2|GSL|4833|noun|The students use behind while describing a lab task in English.|false
belief|core English term used often in technical instructions and classroom communication about belief|A2|GSL|4832|noun|The students use belief while describing a lab task in English.|false
believe|core English term used often in technical instructions and classroom communication about believe|A2|GSL|4831|noun|The students use believe while describing a lab task in English.|false
belong|core English term used often in technical instructions and classroom communication about belong|A2|GSL|4830|noun|The students use belong while describing a lab task in English.|false
below|core English term used often in technical instructions and classroom communication about below|A2|GSL|4829|noun|The students use below while describing a lab task in English.|false
beneath|core English term used often in technical instructions and classroom communication about beneath|A2|GSL|4828|noun|The students use beneath while describing a lab task in English.|false
benefit|core English term used often in technical instructions and classroom communication about benefit|A2|GSL|4827|noun|The students use benefit while describing a lab task in English.|false
beside|core English term used often in technical instructions and classroom communication about beside|A2|GSL|4826|noun|The students use beside while describing a lab task in English.|false
best|core English term used often in technical instructions and classroom communication about best|A2|GSL|4825|noun|The students use best while describing a lab task in English.|false
better|core English term used often in technical instructions and classroom communication about better|A2|GSL|4824|noun|The students use better while describing a lab task in English.|false
between|core English term used often in technical instructions and classroom communication about between|A2|GSL|4823|noun|The students use between while describing a lab task in English.|false
beyond|core English term used often in technical instructions and classroom communication about beyond|A2|GSL|4822|noun|The students use beyond while describing a lab task in English.|false
big|core English term used often in technical instructions and classroom communication about big|A2|GSL|4821|noun|The students use big while describing a lab task in English.|false
bill|core English term used often in technical instructions and classroom communication about bill|A2|GSL|4820|noun|The students use bill while describing a lab task in English.|false
bind|core English term used often in technical instructions and classroom communication about bind|A2|GSL|4819|noun|The students use bind while describing a lab task in English.|false
bird|core English term used often in technical instructions and classroom communication about bird|A2|GSL|4818|noun|The students use bird while describing a lab task in English.|false
birth|core English term used often in technical instructions and classroom communication about birth|A2|GSL|4817|noun|The students use birth while describing a lab task in English.|false
bit|core English term used often in technical instructions and classroom communication about bit|A2|GSL|4816|noun|The students use bit while describing a lab task in English.|false
black|core English term used often in technical instructions and classroom communication about black|A2|GSL|4815|noun|The students use black while describing a lab task in English.|false
block|core English term used often in technical instructions and classroom communication about block|A2|GSL|4814|noun|The students use block while describing a lab task in English.|false
blood|core English term used often in technical instructions and classroom communication about blood|A2|GSL|4813|noun|The students use blood while describing a lab task in English.|false
bloody|core English term used often in technical instructions and classroom communication about bloody|A2|GSL|4812|noun|The students use bloody while describing a lab task in English.|false
blow|core English term used often in technical instructions and classroom communication about blow|A2|GSL|4811|noun|The students use blow while describing a lab task in English.|false
blue|core English term used often in technical instructions and classroom communication about blue|A2|GSL|4810|noun|The students use blue while describing a lab task in English.|false
board|core English term used often in technical instructions and classroom communication about board|A2|GSL|4809|noun|The students use board while describing a lab task in English.|false
boat|core English term used often in technical instructions and classroom communication about boat|A2|GSL|4808|noun|The students use boat while describing a lab task in English.|false
body|core English term used often in technical instructions and classroom communication about body|A2|GSL|4807|noun|The students use body while describing a lab task in English.|false
bone|core English term used often in technical instructions and classroom communication about bone|A2|GSL|4806|noun|The students use bone while describing a lab task in English.|false
book|core English term used often in technical instructions and classroom communication about book|A2|GSL|4805|noun|The students use book while describing a lab task in English.|false
border|core English term used often in technical instructions and classroom communication about border|A2|GSL|4804|noun|The students use border while describing a lab task in English.|false
both|core English term used often in technical instructions and classroom communication about both|A2|GSL|4803|noun|The students use both while describing a lab task in English.|false
bottle|core English term used often in technical instructions and classroom communication about bottle|A2|GSL|4802|noun|The students use bottle while describing a lab task in English.|false
bottom|core English term used often in technical instructions and classroom communication about bottom|A2|GSL|4801|noun|The students use bottom while describing a lab task in English.|false
box|core English term used often in technical instructions and classroom communication about box|A2|GSL|4800|noun|The students use box while describing a lab task in English.|false
boy|core English term used often in technical instructions and classroom communication about boy|A2|GSL|4799|noun|The students use boy while describing a lab task in English.|false
brain|core English term used often in technical instructions and classroom communication about brain|A2|GSL|4798|noun|The students use brain while describing a lab task in English.|false
branch|core English term used often in technical instructions and classroom communication about branch|A2|GSL|4797|noun|The students use branch while describing a lab task in English.|false
break|core English term used often in technical instructions and classroom communication about break|A2|GSL|4796|noun|The students use break while describing a lab task in English.|false
breath|core English term used often in technical instructions and classroom communication about breath|A2|GSL|4795|noun|The students use breath while describing a lab task in English.|false
bridge|core English term used often in technical instructions and classroom communication about bridge|A2|GSL|4794|noun|The students use bridge while describing a lab task in English.|false
brief|core English term used often in technical instructions and classroom communication about brief|A2|GSL|4793|noun|The students use brief while describing a lab task in English.|false
bright|core English term used often in technical instructions and classroom communication about bright|A2|GSL|4792|noun|The students use bright while describing a lab task in English.|false
bring|core English term used often in technical instructions and classroom communication about bring|A2|GSL|4791|noun|The students use bring while describing a lab task in English.|false
broad|core English term used often in technical instructions and classroom communication about broad|A2|GSL|4790|noun|The students use broad while describing a lab task in English.|false
brother|core English term used often in technical instructions and classroom communication about brother|A2|GSL|4789|noun|The students use brother while describing a lab task in English.|false
budget|core English term used often in technical instructions and classroom communication about budget|A2|GSL|4788|noun|The students use budget while describing a lab task in English.|false
build|core English term used often in technical instructions and classroom communication about build|A2|GSL|4787|verb|The students use build while describing a lab task in English.|false
building|core English term used often in technical instructions and classroom communication about building|A2|GSL|4786|noun|The students use building while describing a lab task in English.|false
burn|core English term used often in technical instructions and classroom communication about burn|A2|GSL|4785|noun|The students use burn while describing a lab task in English.|false
bus|core English term used often in technical instructions and classroom communication about bus|A2|GSL|4784|noun|The students use bus while describing a lab task in English.|false
business|core English term used often in technical instructions and classroom communication about business|A2|GSL|4783|noun|The students use business while describing a lab task in English.|false
busy|core English term used often in technical instructions and classroom communication about busy|A2|GSL|4782|noun|The students use busy while describing a lab task in English.|false
but|core English term used often in technical instructions and classroom communication about but|A2|GSL|4781|noun|The students use but while describing a lab task in English.|false
buy|core English term used often in technical instructions and classroom communication about buy|A2|GSL|4780|noun|The students use buy while describing a lab task in English.|false
by|core English term used often in technical instructions and classroom communication about by|A2|GSL|4779|noun|The students use by while describing a lab task in English.|false
cabinet|core English term used often in technical instructions and classroom communication about cabinet|A2|GSL|4778|noun|The students use cabinet while describing a lab task in English.|false
call|core English term used often in technical instructions and classroom communication about call|A2|GSL|4777|noun|The students use call while describing a lab task in English.|false
campaign|core English term used often in technical instructions and classroom communication about campaign|A2|GSL|4776|noun|The students use campaign while describing a lab task in English.|false
can|core English term used often in technical instructions and classroom communication about can|A2|GSL|4775|noun|The students use can while describing a lab task in English.|false
candidate|core English term used often in technical instructions and classroom communication about candidate|A2|GSL|4774|noun|The students use candidate while describing a lab task in English.|false
capable|core English term used often in technical instructions and classroom communication about capable|A2|GSL|4773|noun|The students use capable while describing a lab task in English.|false
capacity|core English term used often in technical instructions and classroom communication about capacity|A2|GSL|4772|noun|The students use capacity while describing a lab task in English.|false
capital|core English term used often in technical instructions and classroom communication about capital|A2|GSL|4771|noun|The students use capital while describing a lab task in English.|false
car|core English term used often in technical instructions and classroom communication about car|A2|GSL|4770|noun|The students use car while describing a lab task in English.|false
card|core English term used often in technical instructions and classroom communication about card|A2|GSL|4769|noun|The students use card while describing a lab task in English.|false
care|core English term used often in technical instructions and classroom communication about care|A2|GSL|4768|noun|The students use care while describing a lab task in English.|false
career|core English term used often in technical instructions and classroom communication about career|A2|GSL|4767|noun|The students use career while describing a lab task in English.|false
careful|core English term used often in technical instructions and classroom communication about careful|A2|GSL|4766|noun|The students use careful while describing a lab task in English.|false
carefully|core English term used often in technical instructions and classroom communication about carefully|A2|GSL|4765|noun|The students use carefully while describing a lab task in English.|false
carry|core English term used often in technical instructions and classroom communication about carry|A2|GSL|4764|noun|The students use carry while describing a lab task in English.|false
case|core English term used often in technical instructions and classroom communication about case|A2|GSL|4763|noun|The students use case while describing a lab task in English.|false
cash|core English term used often in technical instructions and classroom communication about cash|A2|GSL|4762|noun|The students use cash while describing a lab task in English.|false
cat|core English term used often in technical instructions and classroom communication about cat|A2|GSL|4761|noun|The students use cat while describing a lab task in English.|false
catch|core English term used often in technical instructions and classroom communication about catch|A2|GSL|4760|noun|The students use catch while describing a lab task in English.|false
category|core English term used often in technical instructions and classroom communication about category|A2|GSL|4759|noun|The students use category while describing a lab task in English.|false
cause|core English term used often in technical instructions and classroom communication about cause|A2|GSL|4758|noun|The students use cause while describing a lab task in English.|false
cell|core English term used often in technical instructions and classroom communication about cell|A2|GSL|4757|noun|The students use cell while describing a lab task in English.|false
central|core English term used often in technical instructions and classroom communication about central|A2|GSL|4756|noun|The students use central while describing a lab task in English.|false
centre|core English term used often in technical instructions and classroom communication about centre|A2|GSL|4755|noun|The students use centre while describing a lab task in English.|false
century|core English term used often in technical instructions and classroom communication about century|A2|GSL|4754|noun|The students use century while describing a lab task in English.|false
certain|core English term used often in technical instructions and classroom communication about certain|A2|GSL|4753|noun|The students use certain while describing a lab task in English.|false
certainly|core English term used often in technical instructions and classroom communication about certainly|A2|GSL|4752|noun|The students use certainly while describing a lab task in English.|false
chain|core English term used often in technical instructions and classroom communication about chain|A2|GSL|4751|noun|The students use chain while describing a lab task in English.|false
chair|core English term used often in technical instructions and classroom communication about chair|A2|GSL|4750|noun|The students use chair while describing a lab task in English.|false
chairman|core English term used often in technical instructions and classroom communication about chairman|A2|GSL|4749|noun|The students use chairman while describing a lab task in English.|false
challenge|core English term used often in technical instructions and classroom communication about challenge|A2|GSL|4748|noun|The students use challenge while describing a lab task in English.|false
