term|definition|cefrLevel|layer|frequency|partOfSpeech|exampleSentence|protectedToken
torque|engineering term used when discussing systems, materials, measurements, or processes involving torque|B2|EEWL|1427|noun|The engineering team reviewed the torque before starting the field test.|false
transducer|engineering term used when discussing systems, materials, measurements, or processes involving transducer|B2|EEWL|1426|noun|The engineering team reviewed the transducer before starting the field test.|false
turbine|engineering term used when discussing systems, materials, measurements, or processes involving turbine|B2|EEWL|1425|noun|The engineering team reviewed the turbine before starting the field test.|false
ultrasonic|engineering term used when discussing systems, materials, measurements, or processes involving ultrasonic|B2|EEWL|1424|adjective|The engineering team reviewed the ultrasonic before starting the field test.|false
valve|engineering term used when discussing systems, materials, measurements, or processes involving valve|B2|EEWL|1423|noun|The engineering team reviewed the valve before starting the field test.|false
vibration|engineering term used when discussing systems, materials, measurements, or processes involving vibration|B2|EEWL|1422|noun|The engineering team reviewed the vibration before starting the field test.|false
viscosity|engineering term used when discussing systems, materials, measurements, or processes involving viscosity|B2|EEWL|1421|noun|The engineering team reviewed the viscosity before starting the field test.|false
voltage|engineering term used when discussing systems, materials, measurements, or processes involving voltage|B2|EEWL|1420|noun|The engineering team reviewed the voltage before starting the field test.|false
wattage|engineering term used when discussing systems, materials, measurements, or processes involving wattage|B2|EEWL|1419|noun|The engineering team reviewed the wattage before starting the field test.|false
weldment|engineering term used when discussing systems, materials, measurements, or processes involving weldment|B2|EEWL|1418|noun|The engineering team reviewed the weldment before starting the field test.|false
yield|engineering term used when discussing systems, materials, measurements, or processes involving yield|B2|EEWL|1417|noun|The engineering team reviewed the yield before starting the field test.|false
assembly|engineering term used when discussing systems, materials, measurements, or processes involving assembly|B2|EEWL|1416|verb|The engineering team reviewed the assembly before starting the field test.|false
alignment|engineering term used when discussing systems, materials, measurements, or processes involving alignment|C1|EEWL|1415|verb|The engineering team reviewed the alignment before starting the field test.|false
chassis|engineering term used when discussing systems, materials, measurements, or processes involving chassis|C1|EEWL|1414|noun|The engineering team reviewed the chassis before starting the field test.|false
cooling|engineering term used when discussing systems, materials, measurements, or processes involving cooling|C1|EEWL|1413|verb|The engineering team reviewed the cooling before starting the field test.|false
criterion|engineering term used when discussing systems, materials, measurements, or processes involving criterion|C1|EEWL|1412|noun|The engineering team reviewed the criterion before starting the field test.|false
dimension|engineering term used when discussing systems, materials, measurements, or processes involving dimension|C1|EEWL|1411|noun|The engineering team reviewed the dimension before starting the field test.|false
discharge|engineering term used when discussing systems, materials, measurements, or processes involving discharge|C1|EEWL|1410|verb|The engineering team reviewed the discharge before starting the field test.|false
durability|engineering term used when discussing systems, materials, measurements, or processes involving durability|C1|EEWL|1409|noun|The engineering team reviewed the durability before starting the field test.|false
fabrication|engineering term used when discussing systems, materials, measurements, or processes involving fabrication|C1|EEWL|1408|verb|The engineering team reviewed the fabrication before starting the field test.|false
filament|engineering term used when discussing systems, materials, measurements, or processes involving filament|C1|EEWL|1407|noun|The engineering team reviewed the filament before starting the field test.|false
forging|engineering term used when discussing systems, materials, measurements, or processes involving forging|C1|EEWL|1406|verb|The engineering team reviewed the forging before starting the field test.|false
gasket|engineering term used when discussing systems, materials, measurements, or processes involving gasket|C1|EEWL|1405|noun|The engineering team reviewed the gasket before starting the field test.|false
housing|engineering term used when discussing systems, materials, measurements, or processes involving housing|C1|EEWL|1404|noun|The engineering team reviewed the housing before starting the field test.|false
leakage|engineering term used when discussing systems, materials, measurements, or processes involving leakage|C1|EEWL|1403|noun|The engineering team reviewed the leakage before starting the field test.|false
maintenance|engineering term used when discussing systems, materials, measurements, or processes involving maintenance|C1|EEWL|1402|noun|The engineering team reviewed the maintenance before starting the field test.|false
measurement|engineering term used when discussing systems, materials, measurements, or processes involving measurement|C1|EEWL|1401|verb|The engineering team reviewed the measurement before starting the field test.|false
