term|definition|cefrLevel|layer|frequency|partOfSpeech|exampleSentence|protectedToken
labour|academic term frequently used in reports, explanations, and analysis related to labour|B1|AWL|1965|noun|The report highlights labour to explain the engineering result more clearly.|false
legal|academic term frequently used in reports, explanations, and analysis related to legal|B1|AWL|1964|adjective|The report highlights legal to explain the engineering result more clearly.|false
legislation|academic term frequently used in reports, explanations, and analysis related to legislation|B1|AWL|1963|noun|The report highlights legislation to explain the engineering result more clearly.|false
major|academic term frequently used in reports, explanations, and analysis related to major|B1|AWL|1962|adjective|The report highlights major to explain the engineering result more clearly.|false
method|academic term frequently used in reports, explanations, and analysis related to method|B1|AWL|1961|noun|The report highlights method to explain the engineering result more clearly.|false
occur|academic term frequently used in reports, explanations, and analysis related to occur|B1|AWL|1960|verb|The report highlights occur to explain the engineering result more clearly.|false
percent|academic term frequently used in reports, explanations, and analysis related to percent|B1|AWL|1959|noun|The report highlights percent to explain the engineering result more clearly.|false
period|academic term frequently used in reports, explanations, and analysis related to period|B1|AWL|1958|noun|The report highlights period to explain the engineering result more clearly.|false
policy|academic term frequently used in reports, explanations, and analysis related to policy|B1|AWL|1957|noun|The report highlights policy to explain the engineering result more clearly.|false
principle|academic term frequently used in reports, explanations, and analysis related to principle|B1|AWL|1956|noun|The report highlights principle to explain the engineering result more clearly.|false
process|academic term frequently used in reports, explanations, and analysis related to process|B1|AWL|1955|noun|The report highlights process to explain the engineering result more clearly.|false
required|academic term frequently used in reports, explanations, and analysis related to required|B1|AWL|1954|noun|The report highlights required to explain the engineering result more clearly.|false
research|academic term frequently used in reports, explanations, and analysis related to research|B1|AWL|1953|verb|The report highlights research to explain the engineering result more clearly.|false
response|academic term frequently used in reports, explanations, and analysis related to response|B1|AWL|1952|noun|The report highlights response to explain the engineering result more clearly.|false
role|academic term frequently used in reports, explanations, and analysis related to role|B1|AWL|1951|noun|The report highlights role to explain the engineering result more clearly.|false
section|academic term frequently used in reports, explanations, and analysis related to section|B1|AWL|1950|noun|The report highlights section to explain the engineering result more clearly.|false
sector|academic term frequently used in reports, explanations, and analysis related to sector|B1|AWL|1949|noun|The report highlights sector to explain the engineering result more clearly.|false
significant|academic term frequently used in reports, explanations, and analysis related to significant|B1|AWL|1948|adjective|The report highlights significant to explain the engineering result more clearly.|false
similar|academic term frequently used in reports, explanations, and analysis related to similar|B1|AWL|1947|adjective|The report highlights similar to explain the engineering result more clearly.|false
source|academic term frequently used in reports, explanations, and analysis related to source|B1|AWL|1946|noun|The report highlights source to explain the engineering result more clearly.|false
specific|academic term frequently used in reports, explanations, and analysis related to specific|B1|AWL|1945|adjective|The report highlights specific to explain the engineering result more clearly.|false
structure|academic term frequently used in reports, explanations, and analysis related to structure|B1|AWL|1944|noun|The report highlights structure to explain the engineering result more clearly.|false
theory|academic term frequently used in reports, explanations, and analysis related to theory|B1|AWL|1943|noun|The report highlights theory to explain the engineering result more clearly.|false
variable|academic term frequently used in reports, explanations, and analysis related to variable|B1|AWL|1942|noun|The report highlights variable to explain the engineering result more clearly.|false
achieve|academic term frequently used in reports, explanations, and analysis related to achieve|B1|AWL|1941|noun|The report highlights achieve to explain the engineering result more clearly.|false
acquire|academic term frequently used in reports, explanations, and analysis related to acquire|B2|AWL|1940|noun|The report highlights acquire to explain the engineering result more clearly.|false
administration|academic term frequently used in reports, explanations, and analysis related to administration|B2|AWL|1939|noun|The report highlights administration to explain the engineering result more clearly.|false
affect|academic term frequently used in reports, explanations, and analysis related to affect|B2|AWL|1938|verb|The report highlights affect to explain the engineering result more clearly.|false
appropriate|academic term frequently used in reports, explanations, and analysis related to appropriate|B2|AWL|1937|noun|The report highlights appropriate to explain the engineering result more clearly.|false
aspect|academic term frequently used in reports, explanations, and analysis related to aspect|B2|AWL|1936|noun|The report highlights aspect to explain the engineering result more clearly.|false
assistance|academic term frequently used in reports, explanations, and analysis related to assistance|B2|AWL|1935|noun|The report highlights assistance to explain the engineering result more clearly.|false
category|academic term frequently used in reports, explanations, and analysis related to category|B2|AWL|1934|noun|The report highlights category to explain the engineering result more clearly.|false
chapter|academic term frequently used in reports, explanations, and analysis related to chapter|B2|AWL|1933|noun|The report highlights chapter to explain the engineering result more clearly.|false
commission|academic term frequently used in reports, explanations, and analysis related to commission|B2|AWL|1932|noun|The report highlights commission to explain the engineering result more clearly.|false
community|academic term frequently used in reports, explanations, and analysis related to community|B2|AWL|1931|noun|The report highlights community to explain the engineering result more clearly.|false
complex|academic term frequently used in reports, explanations, and analysis related to complex|B2|AWL|1930|noun|The report highlights complex to explain the engineering result more clearly.|false
conclusion|academic term frequently used in reports, explanations, and analysis related to conclusion|B2|AWL|1929|noun|The report highlights conclusion to explain the engineering result more clearly.|false
conduct|academic term frequently used in reports, explanations, and analysis related to conduct|B2|AWL|1928|verb|The report highlights conduct to explain the engineering result more clearly.|false
consequence|academic term frequently used in reports, explanations, and analysis related to consequence|B2|AWL|1927|noun|The report highlights consequence to explain the engineering result more clearly.|false
construction|academic term frequently used in reports, explanations, and analysis related to construction|B2|AWL|1926|noun|The report highlights construction to explain the engineering result more clearly.|false
consumer|academic term frequently used in reports, explanations, and analysis related to consumer|B2|AWL|1925|noun|The report highlights consumer to explain the engineering result more clearly.|false
credit|academic term frequently used in reports, explanations, and analysis related to credit|B2|AWL|1924|noun|The report highlights credit to explain the engineering result more clearly.|false
culture|academic term frequently used in reports, explanations, and analysis related to culture|B2|AWL|1923|noun|The report highlights culture to explain the engineering result more clearly.|false
design|academic term frequently used in reports, explanations, and analysis related to design|B2|AWL|1922|noun|The report highlights design to explain the engineering result more clearly.|false
distinction|academic term frequently used in reports, explanations, and analysis related to distinction|B2|AWL|1921|noun|The report highlights distinction to explain the engineering result more clearly.|false
element|academic term frequently used in reports, explanations, and analysis related to element|B2|AWL|1920|noun|The report highlights element to explain the engineering result more clearly.|false
equation|academic term frequently used in reports, explanations, and analysis related to equation|B2|AWL|1919|noun|The report highlights equation to explain the engineering result more clearly.|false
evaluate|academic term frequently used in reports, explanations, and analysis related to evaluate|B2|AWL|1918|verb|The report highlights evaluate to explain the engineering result more clearly.|false
feature|academic term frequently used in reports, explanations, and analysis related to feature|B2|AWL|1917|noun|The report highlights feature to explain the engineering result more clearly.|false
final|academic term frequently used in reports, explanations, and analysis related to final|B2|AWL|1916|noun|The report highlights final to explain the engineering result more clearly.|false
focus|academic term frequently used in reports, explanations, and analysis related to focus|B2|AWL|1915|verb|The report highlights focus to explain the engineering result more clearly.|false
framework|academic term frequently used in reports, explanations, and analysis related to framework|B2|AWL|1914|noun|The report highlights framework to explain the engineering result more clearly.|false
fundamental|academic term frequently used in reports, explanations, and analysis related to fundamental|B2|AWL|1913|adjective|The report highlights fundamental to explain the engineering result more clearly.|false
generation|academic term frequently used in reports, explanations, and analysis related to generation|B2|AWL|1912|noun|The report highlights generation to explain the engineering result more clearly.|false
impact|academic term frequently used in reports, explanations, and analysis related to impact|B2|AWL|1911|noun|The report highlights impact to explain the engineering result more clearly.|false
implication|academic term frequently used in reports, explanations, and analysis related to implication|C1|AWL|1910|noun|The report highlights implication to explain the engineering result more clearly.|false
institute|academic term frequently used in reports, explanations, and analysis related to institute|C1|AWL|1909|noun|The report highlights institute to explain the engineering result more clearly.|false
instruction|academic term frequently used in reports, explanations, and analysis related to instruction|C1|AWL|1908|noun|The report highlights instruction to explain the engineering result more clearly.|false
intelligence|academic term frequently used in reports, explanations, and analysis related to intelligence|C1|AWL|1907|noun|The report highlights intelligence to explain the engineering result more clearly.|false
journal|academic term frequently used in reports, explanations, and analysis related to journal|C1|AWL|1906|noun|The report highlights journal to explain the engineering result more clearly.|false
layer|academic term frequently used in reports, explanations, and analysis related to layer|C1|AWL|1905|noun|The report highlights layer to explain the engineering result more clearly.|false
mechanism|academic term frequently used in reports, explanations, and analysis related to mechanism|C1|AWL|1904|noun|The report highlights mechanism to explain the engineering result more clearly.|false
objective|academic term frequently used in reports, explanations, and analysis related to objective|C1|AWL|1903|noun|The report highlights objective to explain the engineering result more clearly.|false
output|academic term frequently used in reports, explanations, and analysis related to output|C1|AWL|1902|noun|The report highlights output to explain the engineering result more clearly.|false
parameter|academic term frequently used in reports, explanations, and analysis related to parameter|C1|AWL|1901|noun|The report highlights parameter to explain the engineering result more clearly.|false
